Ticker,Name,ISIN
SWK,Stanley Black & Decker,US8545021011
STT,State Street Corporation,US8574771031
STLD,Steel Dynamics,US8581191009
STE,Steris,IE00BFFR0353
SYK,Stryker Corporation,US8636671013
SMCI,Supermicro,US86800U1043
SYF,Synchrony Financial,US87165B1035
SNPS,Synopsys,US8716071014
SYY,Sysco,US8718291078
TMUS,T-Mobile US,US8725901040
TROW,T. Rowe Price,US74144T1088
TTWO,Take-Two Interactive,US8740541094
TPR,Tapestry,US8760301072
TRGP,Targa Resources,US87612G1013
TGT,Target Corporation,US87612E1064
TEL,TE Connectivity,CH0102993182
TDY,Teledyne Technologies,US8793601050
TER,Teradyne,US8807701029
TPL,Texas Pacific Land Corporation,US88262P1021
TXT,Textron,US8832031013
TKO,TKO Group Holdings,US87256C1018
TTD,Trade Desk (The),US88339J1051
TSCO,Tractor Supply,US87265H1095
TT,Trane Technologies,IE00BK9ZQ967
TDG,TransDigm Group,US8936471031
TRV,Travelers Companies (The),US89417E1091
TRMB,Trimble Inc.,US8962391004
TFC,Truist Financial,US89832Q1094
TYL,Tyler Technologies,US9022521051
TSN,Tyson Foods,US9024941034
USB,U.S. Bancorp,US9029733048
UDR,UDR,US9026531013
ULTA,Ulta Beauty,US90384S1033
UAL,United Airlines Holdings,US9100471096
UPS,United Parcel Service,US9113121068
URI,United Rentals,US9113631090
UHS,Universal Health Services,US9139031002
VLO,Valero Energy,US91913Y1001
VEEV,Veeva Systems,US9224751084
VTR,Ventas,US92276F1003
VLTO,Veralto,US92338C1036
VRSN,Verisign,US92343E1029
VRSK,Verisk Analytics,US92345Y1064
VRT,Vertiv,US9253401031
VTRS,Viatris,US92556V1061
VICI,Vici Properties,US9256521090
VST,Vistra Corp.,US92840M1027
VMC,Vulcan Materials Company,US9291601066
WRB,W. R. Berkley Corporation,US0846701086
GWW,W. W. Grainger,US3848021040
WAB,Wabtec,US9297401088
WBD,Warner Bros. Discovery,US93442R1068
WM,Waste Management,US94106L1098
WAT,Waters Corporation,US9418481035
WEC,WEC Energy Group,US92939U1060
WST,West Pharmaceutical Services,US9553061055
WY,Weyerhaeuser,US9621661043
WSM,Williams-Sonoma,US9699041011
WMB,Williams Companies,US9694571004
WTW,Willis Towers Watson,IE00BDB6Q211
WDAY,Workday,US98138H1014
WYNN,Wynn Resorts,US9831341071
XEL,Xcel Energy,US98389B1008
XYL,Xylem Inc.,US98419M1009
YUM,Yum! Brands,US9884981013
ZBRA,Zebra Technologies,US9892071054
ZBH,Zimmer Biomet,US98956P1021
ZTS,Zoetis,US98978V1035
